hallydhumakethu1986kssp	ഹാലി ധൂമകേതുവിനു സ്വാഗതം - നക്ഷത്രക്കുറിപ്പുകൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Astronomy, Halley's comet	Astronomy; Halley's comet

indiayerakshikkan1992kssp	ഇന്ത്യയെ രക്ഷിക്കാൻ – കേരള സ്വാശ്രയ സമിതി	['Globalization, Dunkal Draft, Indian Economy', 'Kerala Swashraya Samithy']	Globalization; Dunkal Draft; Indian Economy; Kerala Swashraya Samithy
irupathonnamnutandu1986kssp	ഇരുപത്തൊന്നാം നൂറ്റാണ്ടിലേക്ക് - ഗാനങ്ങളും സംഗീതശില്പങ്ങളും നാടകങ്ങളും - ശാസ്ത്രസാംസ്കാരികജാഥ 1986 - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Sasthra Kala Jatha, Street Theatre	Sasthra Kala Jatha; Street Theatre
isrocharacase1995kssp	ഇന്ത്യൻ ബഹിരാകാശ ഗവേഷണം ചാരവൃത്തിക്കു മുമ്പും പിമ്പും - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	['ISRO; KSSP leaflets', 'Kerala Archives']	ISRO; KSSP leaflets; Kerala Archives
janakeeyasasthraprasthanam1992kssp	ജനകീയ ശാസ്ത്രപ്രസ്ഥാനം വിശാലമാക്കുന്ന പ്രവർത്തന മേഖലകൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	People's Science Movement in Kerala	People's Science Movement in Kerala
janakeeyasuthranavivadam2003kssp	ജനകീയാസൂത്രണ വിവാദം - ശാസ്ത്രസാഹിത്യ പരിഷത്തിന് പറയാനുള്ളത്	People's Planning	People's Planning
janakiyasuthranam2002kssp	ജനകീയാസൂത്രണം - അനുഭവങ്ങളും അടിയന്തര കടമകളും - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	People's Planning; Participative Democracy, Decentralization	People's Planning; Participative Democracy; Decentralization
janangal1989kssp	ജനങ്ങൾ സാക്ഷരരാകുന്നതെന്തിന് - സി.ജി. ശാന്തകുമാർ	['Education, Literacy', 'Kerala Literacy']	Education; Literacy; Kerala Literacy
jwala0000kssp	ജ്വാല - ശാസ്ത്രഗീതങ്ങൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Bhopal Gas Tragedy	Bhopal Gas Tragedy
kalarppuvasthukkal0000kssp	കലർപ്പുവസ്തുക്കളും കണ്ടുപിടിക്കുന്നതിനുള്ള മാർഗ്ഗങ്ങളും - ഗ്രാമശാസ്ത്രജാഥ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Science Education, Adulteration	Science Education; Adulteration
kalikkamaravindgupta1990kssp	കളിക്കാം പഠിക്കാം - അരവിന്ദ് ഗുപ്ത	Malayalam Science Education Books	Malayalam Science Education Books
'subject'
kalikoottam1992kssp	കളിക്കൂട്ടം - കുട്ടികളുടെ ഒഴിവുകാല പരിപാടി - പ്രവർത്തകർക്കുള്ള കുറിപ്പുകൾ	False	
kalivela2002kssp	2002 - കളിവേള - ബാലവേദി കൈപുസ്തകം - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	['KSSP leaflets', 'Kerala Archives']	KSSP leaflets; Kerala Archives
kallukalkrama1979kssp	കല്ലുകൾ കഥ പറയുന്നു - കെ. രാമചന്ദ്രൻ	['Parishath Geology Books, Rock', 'KSSP Books']	Parishath Geology Books; Rock; KSSP Books
kannethathaprmad1983kssp	കണ്ണെത്താത്ത ദൂരങ്ങളിൽ - പി.ആർ. മാധവപണിക്കർ	Astronomy, Cosmology	Astronomy; Cosmology
kanyabhoomi1990kssp	കന്യാഭൂമി - സംഗീത ശിൽപങ്ങളും നാടകങ്ങളും - ഭാരത വിജ്ഞാൻ സമിതി	['Bharat Gyanvigyan Samithi Kerala, Street Theatre in Kerala, Literacy, Gender', 'Kerala Sasthra Sahithya Parishad', 'Kerala Archives']	Bharat Gyanvigyan Samithi Kerala; Street Theatre in Kerala; Literacy; Gender; Kerala Sasthra Sahithya Parishad; Kerala Archives
kariyunnakalpavriksham1984kssp	കരിയുന്ന കല്പവൃക്ഷം - എം.പി. പരമേശ്വരൻ, ടി.എം. തോമസ് ഐസക്ക്	Kerala Coconut Industry; KSSP leaflets	Kerala Coconut Industry; KSSP leaflets
karshikameghala1993kssp	പുത്തൻ സാമ്പത്തിക പരിഷ്കാരങ്ങളും കാർഷിക മേഖലയും - കേരള സ്വാശ്രയ സമിതി	['Dunkal Draft, New Economic Policy, Agriculture', 'Kerala Swashraya Samithy']	Dunkal Draft; New Economic Policy; Agriculture; Kerala Swashraya Samithy
kavimalika1986kssp	കവിമാലിക - സംഗീതശില്പം - ശാസ്ത്രസാംസ്കാരികജാഥ 1986 - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Kala Jatha, Street Theatre	Kala Jatha; Street Theatre
kayalnammude1991kssp	കായൽ നമ്മുടെ സമ്പത്ത് - കായൽ സംരക്ഷണ ജാഥ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Kala Jatha, Ecology	Kala Jatha; Ecology
keralapanchayathraj1995kssp	കേരള പഞ്ചായത്ത് രാജ് നിയം 1994 - ഒരു വിലയിരുത്തൽ	Kerala Panchayathraj	Kerala Panchayathraj
